;meta[language=tr]
; id      |key(hex)|key(str)| text
;
; comment lines use ; as first character
; all comment lines (except the two line header) will be ignored
;
2117035001|        |panel_Mods|Mods
2117035002|        |panel_acs_name|Advanced Combat System
2117035003|        |panel_acs_main_settings|Main Settings
2117035004|        |preset_Mods_acs_name_acs_main_settings|ACS: Main Settings
2117035005|        |preset_Mods_combat_acs_name_acs_main_settings|ACS: Main Settings
2117035006|        |preset_Mods_gameplay_acs_name_acs_main_settings|ACS: Main Settings
2117035007|        |preset_Mods_miscellaneous_acs_name_acs_main_settings|ACS: Main Settings
2117035008|        |preset_value_armiger_mode|Armiger Mode
2117035009|        |preset_value_focus_mode|Focus Mode
2117035010|        |preset_value_hybrid_mode|Hybrid Mode
2117035011|        |preset_value_equip_mode|Equipment Mode
2117035012|        |option_acs_mod_enabled|<font color="#00ff67">Mod Enabled</font>
2117035013|        |option_acs_weapon_mode|ACS Weapon Mode
2117035014|        |preset_value_acs_armiger_mode|Armiger Mode
2117035015|        |preset_value_acs_focus_mode|Focus Mode
2117035016|        |preset_value_acs_hybrid_mode|Hybridmodus
2117035017|        |preset_value_acs_equip_mode|Equipment Mode
2117035018|        |option_acs_fist_mode|Fist Mode
2117035019|        |preset_value_acs_fist|Normal Fists
2117035020|        |preset_value_acs_vamp_claws|Vampire Claws
2117035021|        |preset_value_acs_aard_fist|Shockwave Fists
2117035022|        |option_acs_target_mode|Targeting Mode
2117035023|        |preset_value_acs_auto_target|Auto-Targeting
2117035324|        |preset_value_acs_auto_target_closest_target|Auto-Targeting: Closest Enemy
2117035025|        |preset_value_acs_manual_target|Manual Targeting
2117035026|        |option_acs_combo_mode|Combo Chain Mode
2117035027|        |preset_value_acs_combo_mode_sequential|Sequential
2117035028|        |preset_value_acs_combo_mode_random|Randomized/Distance-based
2117035029|        |option_acs_stamina_block_action|Minimum Stamina Requirement Enabled
2117035030|        |option_acs_on_hit_effects|Elemental Combo System Enabled
2117035031|        |option_acs_elemental_rend|Elemental Rend Enabled
2117035032|        |option_acs_hide_sword_sheathes|Hide All Weapons On Back For Armiger, Focus, and Hybrid Mode
2117035033|        |option_acs_experimental_dismemberment_enabled|Experimental Dismemberment Enabled
2117035034|        |option_acs_sword_walk_enabled|Alternate Sword-Walk Enabled (Beware: Causes Guards to Twitch)
2117035035|        |option_acs_passive_taunt_enabled|Passive Taunt Enabled
2117035036|        |option_acs_auto_finisher_enabled|Auto-Finisher Enabled
2117035037|        |option_acs_vampire_sound_effects|Vampire Voice SFX Enabled
2117035038|        |option_acs_player_scale|Set Player Size (1 = Default)
2117035039|        |option_acs_shadows_spawn_chances_normal|Forest God Shadows Spawning Chance
2117035040|        |option_acs_init|Advanced Combat System Initialized
2117035041|        |option_acs_size_init|Mod Initialized
2117035042|        |panel_acs_armiger_mode_settings|Armiger Mode Settings
2117035043|        |preset_Mods_acs_name_acs_armiger_mode_settings|ACS: Armiger Mode
2117035044|        |preset_Mods_combat_acs_name_acs_armiger_mode_settings|ACS: Armiger Mode
2117035045|        |preset_Mods_gameplay_acs_name_acs_armiger_mode_settings|ACS: Armiger Mode
2117035046|        |preset_Mods_miscellaneous_acs_name_acs_armiger_mode_settings|ACS: Armiger Mode
2117035047|        |preset_value_acs_armiger_mode_settings_default|Default
2117035048|        |option_acs_armiger_mode_weapon_type|Armiger Mode Weapon Type
2117035049|        |preset_value_acs_armiger_evolving_weapons|Evolving Weapons
2117035040|        |preset_value_acs_armiger_static_weapons|Static Weapons
